Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YAC11,Accounting,Oct-20,228,72.0,103.0,148.0,179.0,205.0,216.0,228
XAC11,Accounting,Oct-20,418,,220.0,299.0,350.0,380.0,404.0,418
YAC11,Accounting,Oct-21,727,162.0,338.0,445.0,545.0,625.0,668.0,727
XAC11,Accounting,Oct-21,503,,333.0,390.0,432.0,464.0,484.0,503
YAC11,Accounting,Oct-22,657,51.0,317.0,450.0,545.0,601.0,640.0,657
XAC11,Accounting,Oct-22,584,,308.0,400.0,476.0,525.0,560.0,584
YAC11,Accounting,Oct-23,629,27.0,215.0,332.0,443.0,523.0,576.0,629
XAC11,Accounting,Oct-23,572,,190.0,290.0,383.0,465.0,529.0,572
XAC11,Accounting,Oct-23,5228,,1374.0,2310.0,3127.0,3799.0,4274.0,5228
YAC11,Accounting,Jan-19,376,44.0,97.0,152.0,207.0,280.0,339.0,376
XAC11,Accounting,Jan-19,232,,65.0,101.0,135.0,167.0,194.0,232
YAC11,Accounting,Jan-20,238,38.0,66.0,93.0,128.0,168.0,198.0,238
XAC11,Accounting,Jan-20,224,,82.0,108.0,140.0,163.0,186.0,224
YAC11,Accounting,Jan-21,331,87.0,152.0,206.0,255.0,294.0,307.0,331
XAC11,Accounting,Jan-21,202,,124.0,140.0,156.0,175.0,192.0,202
YAC11,Accounting,Jan-22,458,95.0,197.0,272.0,340.0,396.0,426.0,458
XAC11,Accounting,Jan-22,198,,98.0,120.0,135.0,162.0,179.0,198
YAC11,Accounting,Jan-23,569,80.0,220.0,347.0,427.0,489.0,536.0,569
XAC11,Accounting,Jan-23,255,,86.0,117.0,154.0,189.0,224.0,255
YAC11,Accounting,Jan-24,376,21.0,83.0,151.0,196.0,250.0,295.0,376
XAC11,Accounting,Jan-24,238,,67.0,103.0,142.0,178.0,200.0,238
YAC11,Accounting,Jun-17,1648,114.0,365.0,667.0,966.0,1228.0,1441.0,1648
XAC11,Accounting,Jun-17,979,,323.0,491.0,666.0,797.0,879.0,979
YAC11,Accounting,Jun-18,1279,72.0,376.0,610.0,826.0,1018.0,1142.0,1279
XAC11,Accounting,Jun-18,899,,308.0,453.0,603.0,712.0,799.0,899
YAC11,Accounting,Jun-19,1371,105.0,375.0,643.0,880.0,1074.0,1228.0,1371
XAC11,Accounting,Jun-19,752,,258.0,383.0,502.0,591.0,668.0,752
YAC11,Accounting,Jun-20,1125,259.0,546.0,800.0,958.0,1056.0,1096.0,1125
XAC11,Accounting,Jun-20,710,,367.0,505.0,593.0,641.0,672.0,710
YAC11,Accounting,Jun-21,2052,524.0,1193.0,1682.0,1928.0,2010.0,2035.0,2052
XAC11,Accounting,Jun-21,966,,515.0,703.0,812.0,876.0,923.0,966
YAC11,Accounting,Jun-22,1489,244.0,678.0,969.0,1181.0,1316.0,1406.0,1489
XAC11,Accounting,Jun-22,988,,435.0,586.0,698.0,811.0,904.0,988
YAC11,Accounting,Jun-23,1403,80.0,437.0,697.0,920.0,1108.0,1251.0,1403
XAC11,Accounting,Jun-23,1211,,405.0,585.0,763.0,930.0,1065.0,1211
YAC11,Accounting,Oct-17,560,39.0,130.0,201.0,280.0,372.0,455.0,560
XAC11,Accounting,Oct-17,315,,71.0,139.0,200.0,251.0,276.0,315
YAC11,Accounting,Oct-18,581,48.0,134.0,218.0,300.0,396.0,472.0,581
XAC11,Accounting,Oct-18,469,,129.0,206.0,279.0,343.0,401.0,469
YAC11,Accounting,Oct-19,563,38.0,142.0,228.0,307.0,393.0,475.0,563
XAC11,Accounting,Oct-19,195,,41.0,73.0,106.0,148.0,163.0,195
YAC01,Accounting,Jan-14,685,9.9,21.6,34.6,51.7,70.4,82.0,100
XAC01,Accounting,Jan-14,354,,23.7,36.4,50.8,67.2,80.5,100
YAC01,Accounting,Jan-15,478,8.6,22.2,38.7,53.3,70.1,84.3,100
XAC01,Accounting,Jan-15,564,,26.6,43.4,61.5,73.2,81.6,100
YAC01,Accounting,Jan-16,465,7.3,23.2,41.9,59.1,72.0,86.9,100
XAC01,Accounting,Jan-16,432,,24.8,38.9,54.4,68.1,76.4,100
YAC01,Accounting,Jan-17,414,9.4,24.6,43.7,60.4,78.3,90.6,100
XAC01,Accounting,Jan-17,465,,23.2,38.3,56.6,69.7,83.0,100
YAC11,Accounting,Jan-18,546,39.0,132.0,224.0,306.0,402.0,470.0,546
XAC11,Accounting,Jan-18,361,,95.0,155.0,216.0,257.0,294.0,361
YAC01,Accounting,Jun-14,2461,14.5,28.2,45.3,59.9,73.3,84.2,100
XAC01,Accounting,Jun-14,1522,,27.9,42.2,58.1,72.0,83.1,100
YAC01,Accounting,Jun-15,2543,12.0,29.7,47.1,61.6,75.3,85.7,100
XAC01,Accounting,Jun-15,1412,,28.5,43.3,60.8,73.8,84.3,100
YAC01,Accounting,Jun-16,2141,11.5,30.9,48.1,63.5,76.6,87.2,100
XAC01,Accounting,Jun-16,496,,31.7,49.0,66.3,79.0,87.5,100
XAC11,Accounting,Jun-16,736,,27.2,41.8,58.7,74.7,86.1,100
