Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YAA01,Arabic,Oct-20,481,150.0,297.0,400.0,452.0,468.0,476.0,481
XAA01,Arabic,Oct-20,933,,774.0,896.0,925.0,930.0,932.0,933
YAA01,Arabic,Oct-21,433,174.0,310.0,380.0,405.0,415.0,423.0,433
XAA01,Arabic,Oct-21,488,,368.0,450.0,476.0,484.0,486.0,488
YAA01,Arabic,Jan-19,106,51.0,68.0,85.0,97.0,101.0,102.0,106
XAA01,Arabic,Jan-19,403,,174.0,269.0,335.0,378.0,395.0,403
YAA01,Arabic,Jan-20,413,94.0,194.0,305.0,376.0,402.0,412.0,413
XAA01,Arabic,Jan-20,590,,250.0,401.0,505.0,549.0,574.0,590
XAA01,Arabic,Jan-20,590,,250.0,401.0,505.0,549.0,574.0,590
YAA01,Arabic,Jan-21,594,223.0,444.0,553.0,583.0,591.0,593.0,594
XAA01,Arabic,Jan-21,832,,614.0,759.0,818.0,831.0,832.0,832
YAA01,Arabic,Jan-22,694,236.0,508.0,624.0,664.0,678.0,687.0,694
XAA01,Arabic,Jan-22,786,,561.0,692.0,754.0,773.0,783.0,786
YAA01,Arabic,Jan-23,658,98.0,346.0,537.0,618.0,639.0,650.0,658
XAA01,Arabic,Jan-23,1052,,682.0,869.0,976.0,1027.0,1042.0,1052
YAA01,Arabic,Jan-24,710,190.0,442.0,586.0,660.0,681.0,697.0,710
XAA01,Arabic,Jan-24,956,,458.0,677.0,843.0,903.0,938.0,956
XAA01,Arabic,Jun-17,53,,32.0,41.0,45.0,51.0,53.0,53
XAA01,Arabic,Jun-18,398,89.0,194.0,296.0,349.0,379.0,389.0,398
XAA01,Arabic,Jun-18,871,,498.0,684.0,798.0,841.0,856.0,871
XAA01,Arabic,Jun-19,1127,237.0,625.0,905.0,1034.0,1093.0,1109.0,1127
XAA01,Arabic,Jun-19,1238,,663.0,930.0,1088.0,1162.0,1202.0,1238
XAA01,Arabic,Jun-20,1291,529.0,1025.0,1199.0,1259.0,1281.0,1290.0,1291
XAA01,Arabic,Jun-20,1070,,656.0,896.0,1013.0,1058.0,1068.0,1070
XAA01,Arabic,Jun-21,1666,924.0,1466.0,1616.0,1647.0,1651.0,1658.0,1666
XAA01,Arabic,Jun-21,1652,,1185.0,1441.0,1581.0,1636.0,1647.0,1652
YAA01,Arabic,Jun-22,1597,657.0,1237.0,1491.0,1557.0,1576.0,1586.0,1597
XAA01,Arabic,Jun-22,1852,,1162.0,1505.0,1680.0,1776.0,1820.0,1852
YAA01,Arabic,Jun-23,1708,376.0,1061.0,1441.0,1621.0,1677.0,1702.0,1708
XAA01,Arabic,Jun-23,2002,,1037.0,1495.0,1782.0,1902.0,1954.0,2002
XAA01,Arabic,Jan-18,184,,87.0,132.0,161.0,175.0,179.0,184
