Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YBI01,Biology,Oct-20,128,2.0,17.0,46.0,94.0,115.0,125.0,128
YBI11,Biology,Oct-20,278,16.0,66.0,143.0,203.0,240.0,260.0,278
XBI11,Biology,Oct-20,1397,,466.0,783.0,1055.0,1228.0,1339.0,1397
YBI11,Biology,Oct-21,1054,40.0,276.0,518.0,739.0,915.0,1004.0,1054
XBI11,Biology,Oct-21,1194,,449.0,695.0,925.0,1063.0,1147.0,1194
YBI11,Biology,Oct-22,1053,184.0,353.0,513.0,681.0,816.0,935.0,1053
XBI11,Biology,Oct-22,1395,,414.0,624.0,849.0,1023.0,1203.0,1395
YBI11,Biology,Oct-23,1036,91.0,210.0,329.0,452.0,605.0,747.0,1036
XBI11,Biology,Oct-23,1929,,314.0,622.0,939.0,1195.0,1452.0,1929
YBI01,Biology,Jan-19,387,33.0,87.0,145.0,219.0,275.0,340.0,387
XBI01,Biology,Jan-19,1002,,217.0,443.0,628.0,763.0,864.0,1002
XBI11,Biology,Jan-20,909,,169.0,344.0,508.0,635.0,749.0,909
YBI11,Biology,Jan-21,344,27.0,118.0,201.0,264.0,313.0,330.0,344
XBI11,Biology,Jan-21,535,,169.0,278.0,389.0,447.0,498.0,535
YBI11,Biology,Jan-22,439,46.0,196.0,271.0,363.0,401.0,424.0,439
XBI11,Biology,Jan-22,594,,221.0,335.0,419.0,491.0,542.0,594
YBI11,Biology,Jan-23,573,195.0,301.0,402.0,469.0,521.0,544.0,573
XBI11,Biology,Jan-23,876,,222.0,373.0,521.0,637.0,738.0,876
YBI11,Biology,Jan-24,598,97.0,198.0,283.0,368.0,443.0,507.0,598
XBI11,Biology,Jan-24,1098,,209.0,407.0,605.0,746.0,863.0,1098
YBI01,Biology,Jun-17,3130,306.0,853.0,1342.0,1812.0,2202.0,2519.0,3130
XBI01,Biology,Jun-17,3921,,808.0,1453.0,1997.0,2478.0,2969.0,3921
YBI01,Biology,Jun-18,2451,405.0,864.0,1312.0,1683.0,1975.0,2209.0,2451
XBI01,Biology,Jun-18,4045,,882.0,1576.0,2184.0,2681.0,3173.0,4045
YBI01,Biology,Jun-19,2604,513.0,959.0,1371.0,1747.0,2083.0,2359.0,2604
XBI01,Biology,Jun-19,1092,,224.0,407.0,555.0,717.0,841.0,1092
XBI11,Biology,Jun-19,3261,,743.0,1210.0,1656.0,2055.0,2470.0,3261
YBI01,Biology,Jun-20,182,34.0,58.0,113.0,150.0,170.0,180.0,182
YBI11,Biology,Jun-20,2224,647.0,1228.0,1698.0,1971.0,2115.0,2185.0,2224
XBI11,Biology,Jun-20,3591,,1532.0,2222.0,2847.0,3262.0,3482.0,3591
YBI11,Biology,Jun-21,3478,1149.0,2121.0,2816.0,3233.0,3385.0,3440.0,3478
XBI11,Biology,Jun-21,4443,,2515.0,3310.0,3860.0,4155.0,4294.0,4443
YBI11,Biology,Jun-22,3758,1013.0,1960.0,2607.0,3091.0,3432.0,3624.0,3758
XBI11,Biology,Jun-22,5134,,2241.0,2982.0,3636.0,4174.0,4562.0,5134
YBI11,Biology,Jun-23,4034,904.0,1772.0,2365.0,2874.0,3311.0,3662.0,4034
XBI11,Biology,Jun-23,5518,,1526.0,2319.0,3018.0,3698.0,4317.0,5518
YBI01,Biology,Oct-17,386,7.0,34.0,82.0,127.0,180.0,234.0,386
XBI01,Biology,Oct-17,452,,68.0,131.0,188.0,254.0,314.0,452
YBI01,Biology,Oct-18,847,15.0,88.0,194.0,306.0,425.0,536.0,847
XBI01,Biology,Oct-18,1019,,136.0,274.0,420.0,545.0,681.0,1019
YBI01,Biology,Oct-19,1110,30.0,104.0,248.0,403.0,572.0,736.0,1110
XBI11,Biology,Oct-19,515,,109.0,202.0,289.0,373.0,420.0,515
YBI01,Biology,Jan-14,467,4.7,20.8,39.2,58.5,72.4,86.9,100
XBI01,Biology,Jan-14,656,,11.1,30.6,44.2,56.9,70.1,100
YBI01,Biology,Jan-15,348,5.2,13.8,30.7,53.4,68.1,82.5,100
XBI01,Biology,Jan-15,1331,,12.2,30.7,52.0,66.7,77.9,100
YBI01,Biology,Jan-16,384,5.7,16.9,31.3,51.0,67.7,82.3,100
XBI01,Biology,Jan-16,1155,,15.0,36.5,56.0,69.9,82.1,100
YBI01,Biology,Jan-17,385,3.4,15.6,32.5,51.7,69.9,82.6,100
XBI01,Biology,Jan-17,1176,,15.1,35.1,54.8,66.7,77.4,100
YBI01,Biology,Jan-18,867,45.0,113.0,235.0,353.0,486.0,603.0,867
XBI01,Biology,Jan-18,1201,,198.0,433.0,642.0,811.0,952.0,1201
YBI01,Biology,Jun-14,3324,6.3,21.6,38.1,55.2,69.1,80.7,100
XBI01,Biology,Jun-14,4009,,14.3,28.8,42.9,56.4,68.5,100
YBI01,Biology,Jun-15,3240,7.6,22.5,39.4,54.0,66.1,78.3,100
XBI01,Biology,Jun-15,4113,,16.5,30.8,45.4,59.1,72.2,100
YBI01,Biology,Jun-16,3067,7.7,24.2,41.1,56.4,68.8,79.9,100
XBI01,Biology,Jun-16,4042,,20.3,36.0,49.3,62.0,73.8,100
