Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YBS01,Business Studies,Oct-20,19,0.0,2.0,7.0,8.0,13.0,16.0,19
YBS01,Business Studies,Jan-19,176,2.0,28.0,65.0,103.0,143.0,156.0,176
XBS01,Business Studies,Jan-19,226,,24.0,59.0,102.0,137.0,162.0,226
YBS01,Business Studies,Jun-17,1525,36.0,359.0,772.0,1086.0,1293.0,1402.0,1525
XBS01,Business Studies,Jun-17,1437,,305.0,521.0,757.0,922.0,1087.0,1437
YBS01,Business Studies,Jun-18,1104,28.0,298.0,603.0,855.0,977.0,1045.0,1104
XBS01,Business Studies,Jun-18,1591,,558.0,814.0,1045.0,1216.0,1356.0,1591
YBS01,Business Studies,Jun-19,1410,82.0,481.0,846.0,1087.0,1251.0,1344.0,1410
XBS01,Business Studies,Jun-19,334,,67.0,120.0,171.0,223.0,257.0,334
YBS01,Business Studies,Jun-20,78,9.0,19.0,34.0,48.0,69.0,74.0,78
YBS01,Business Studies,Oct-17,340,7.0,85.0,157.0,209.0,258.0,299.0,340
XBS01,Business Studies,Oct-17,278,,62.0,125.0,184.0,214.0,240.0,278
YBS01,Business Studies,Oct-18,437,37.0,133.0,237.0,307.0,361.0,390.0,437
XBS01,Business Studies,Oct-18,443,,116.0,193.0,270.0,316.0,361.0,443
YBS01,Business Studies,Oct-19,539,57.0,182.0,296.0,400.0,453.0,487.0,539
9BSA1,Business Studies,Jan-14,175,1.1,6.9,14.9,33.1,53.7,76.6,100
8BSA1,Business Studies,Jan-14,82,,3.7,7.3,17.1,35.4,51.2,100
XBS01,Business Studies,Jan-14,109,,11.9,21.1,32.1,39.4,55.0,100
YBS01,Business Studies,Jan-15,113,1.8,7.1,15.0,25.7,52.2,68.1,100
XBS01,Business Studies,Jan-15,191,,4.2,15.7,30.4,47.1,59.2,100
YBS01,Business Studies,Jan-16,164,1.2,8.5,22.6,47.0,71.3,83.5,100
XBS01,Business Studies,Jan-16,248,,11.7,27.0,38.3,54.8,69.0,100
YBS01,Business Studies,Jan-17,149,0.7,8.7,23.5,45.0,72.5,89.3,100
XBS01,Business Studies,Jan-17,395,,13.9,27.6,45.6,59.0,73.4,100
YBS01,Business Studies,Jan-18,413,4.0,60.0,140.0,222.0,293.0,342.0,413
XBS01,Business Studies,Jan-18,430,,60.0,115.0,177.0,229.0,293.0,430
YBS01,Business Studies,Jun-14,277,0.4,7.6,18.4,38.3,56.0,74.7,100
XBS01,Business Studies,Jun-14,666,,18.9,29.4,38.9,48.8,62.3,100
YBS01,Business Studies,Jun-15,879,1.9,14.4,32.8,48.6,64.2,76.1,100
XBS01,Business Studies,Jun-15,957,,16.8,29.4,42.0,55.3,66.4,100
YBS01,Business Studies,Jun-16,1026,2.0,14.3,34.9,55.0,71.6,83.7,100
XBS01,Business Studies,Jun-16,1476,,20.9,36.3,52.9,65.2,77.0,100
