Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YBS11,Business,Oct-20,167,1.0,11.0,37.0,83.0,126.0,154.0,167
XBS11,Business,Oct-20,491,,131.0,285.0,408.0,457.0,474.0,491
YBS11,Business,Oct-21,668,0.0,80.0,254.0,459.0,585.0,625.0,668
XBS11,Business,Oct-21,546,,208.0,334.0,426.0,483.0,516.0,546
YBS11,Business,Oct-22,579,86.0,245.0,374.0,467.0,527.0,555.0,579
XBS11,Business,Oct-22,902,,221.0,399.0,554.0,687.0,765.0,902
YBS11,Business,Oct-23,668,59.0,181.0,329.0,468.0,551.0,608.0,668
XBS11,Business,Oct-23,1010,,134.0,341.0,540.0,720.0,843.0,1010
XBS11,Business,Jan-20,358,,45.0,114.0,197.0,248.0,283.0,358
YBS11,Business,Jan-21,151,0.0,6.0,28.0,76.0,124.0,140.0,151
XBS11,Business,Jan-21,192,,14.0,49.0,107.0,140.0,164.0,192
YBS11,Business,Jan-22,199,0.0,10.0,58.0,108.0,164.0,186.0,199
XBS11,Business,Jan-22,187,,31.0,68.0,109.0,150.0,168.0,187
YBS11,Business,Jan-23,323,18.0,67.0,135.0,218.0,266.0,292.0,323
XBS11,Business,Jan-23,404,,47.0,109.0,179.0,246.0,306.0,404
YBS11,Business,Jan-24,270,15.0,48.0,93.0,144.0,191.0,236.0,270
XBS11,Business,Jan-24,600,,40.0,116.0,238.0,347.0,442.0,600
XBS11,Business,Jun-19,1368,,165.0,352.0,557.0,779.0,966.0,1368
YBS11,Business,Jun-20,1141,159.0,373.0,679.0,938.0,1068.0,1115.0,1141
XBS11,Business,Jun-20,1644,,487.0,876.0,1228.0,1455.0,1589.0,1644
YBS11,Business,Jun-21,2478,308.0,966.0,1761.0,2226.0,2387.0,2443.0,2478
XBS11,Business,Jun-21,2445,,898.0,1501.0,1958.0,2199.0,2328.0,2445
YBS11,Business,Jun-22,2238,209.0,761.0,1327.0,1761.0,2039.0,2164.0,2238
XBS11,Business,Jun-22,2781,,750.0,1229.0,1685.0,2036.0,2324.0,2781
YBS11,Business,Jun-23,2448,231.0,696.0,1254.0,1698.0,2037.0,2241.0,2448
XBS11,Business,Jun-23,3181,,408.0,863.0,1362.0,1855.0,2280.0,3181
XBS11,Business,Oct-19,148,,16.0,40.0,70.0,96.0,117.0,148
