Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YCH01,Chemistry,Oct-20,183,4.0,23.0,56.0,101.0,153.0,172.0,183
YCH11,Chemistry,Oct-20,458,45.0,133.0,234.0,321.0,385.0,416.0,458
XCH11,Chemistry,Oct-20,1707,,604.0,932.0,1192.0,1404.0,1540.0,1707
YCH11,Chemistry,Oct-21,1323,89.0,369.0,593.0,845.0,1045.0,1201.0,1323
XCH11,Chemistry,Oct-21,1442,,540.0,786.0,1001.0,1174.0,1311.0,1442
YCH11,Chemistry,Oct-22,1253,111.0,352.0,550.0,748.0,924.0,1077.0,1253
XCH11,Chemistry,Oct-22,1637,,523.0,792.0,1035.0,1239.0,1408.0,1637
YCH11,Chemistry,Oct-23,1301,89.0,284.0,451.0,617.0,799.0,980.0,1301
XCH11,Chemistry,Oct-23,2101,,392.0,745.0,1059.0,1323.0,1533.0,2101
YCH01,Chemistry,Jan-19,808,56.0,177.0,318.0,438.0,548.0,680.0,808
XCH01,Chemistry,Jan-19,1304,,254.0,534.0,744.0,901.0,1039.0,1304
XCH11,Chemistry,Jan-20,1129,,219.0,416.0,651.0,818.0,935.0,1129
YCH11,Chemistry,Jan-21,624,76.0,224.0,352.0,464.0,557.0,594.0,624
XCH11,Chemistry,Jan-21,701,,181.0,299.0,423.0,537.0,612.0,701
YCH11,Chemistry,Jan-22,754,79.0,289.0,448.0,565.0,657.0,706.0,754
XCH11,Chemistry,Jan-22,713,,300.0,419.0,504.0,578.0,644.0,713
YCH11,Chemistry,Jan-23,1029,153.0,490.0,676.0,805.0,917.0,986.0,1029
XCH11,Chemistry,Jan-23,1208,,351.0,574.0,761.0,902.0,1033.0,1208
YCH11,Chemistry,Jan-24,977,60.0,259.0,434.0,591.0,719.0,841.0,977
XCH11,Chemistry,Jan-24,1352,,219.0,450.0,686.0,888.0,1057.0,1352
YCH01,Chemistry,Jun-17,4400,449.0,1210.0,1994.0,2626.0,3163.0,3595.0,4400
XCH01,Chemistry,Jun-17,5029,,1167.0,1996.0,2711.0,3304.0,3828.0,5029
YCH01,Chemistry,Jun-18,3751,414.0,1231.0,1942.0,2545.0,3018.0,3356.0,3751
XCH01,Chemistry,Jun-18,5064,,1315.0,2082.0,2802.0,3412.0,3909.0,5064
YCH01,Chemistry,Jun-19,3972,450.0,1323.0,2130.0,2745.0,3194.0,3579.0,3972
XCH01,Chemistry,Jun-19,1217,,256.0,473.0,664.0,808.0,938.0,1217
XCH11,Chemistry,Jun-19,4385,,1154.0,1841.0,2509.0,3100.0,3501.0,4385
YCH01,Chemistry,Jun-20,269,38.0,90.0,150.0,213.0,249.0,264.0,269
YCH11,Chemistry,Jun-20,3376,931.0,1851.0,2584.0,3030.0,3236.0,3335.0,3376
XCH11,Chemistry,Jun-20,4545,,2273.0,3120.0,3786.0,4189.0,4399.0,4545
YCH11,Chemistry,Jun-21,5042,1489.0,3113.0,4107.0,4641.0,4868.0,4973.0,5042
XCH11,Chemistry,Jun-21,5705,,3197.0,4163.0,4871.0,5239.0,5458.0,5705
YCH11,Chemistry,Jun-22,4905,982.0,2422.0,3322.0,3965.0,4438.0,4733.0,4905
XCH11,Chemistry,Jun-22,6239,,2665.0,3506.0,4221.0,4823.0,5339.0,6239
YCH11,Chemistry,Jun-23,5020,690.0,2021.0,2904.0,3623.0,4180.0,4596.0,5020
XCH11,Chemistry,Jun-23,7011,,1967.0,3085.0,4087.0,4915.0,5617.0,7011
YCH01,Chemistry,Oct-17,392,13.0,38.0,77.0,127.0,180.0,241.0,392
XCH01,Chemistry,Oct-17,548,,68.0,164.0,244.0,316.0,383.0,548
YCH01,Chemistry,Oct-18,948,30.0,97.0,195.0,305.0,426.0,566.0,948
XCH01,Chemistry,Oct-18,1067,,137.0,288.0,422.0,565.0,674.0,1067
YCH01,Chemistry,Oct-19,1333,41.0,163.0,335.0,526.0,703.0,889.0,1333
XCH11,Chemistry,Oct-19,604,,94.0,221.0,343.0,428.0,496.0,604
YCH01,Chemistry,Jan-14,947,4.6,23.3,41.2,58.2,72.3,84.9,100
XCH01,Chemistry,Jan-14,874,,16.6,36.2,51.5,62.6,72.8,100
YCH01,Chemistry,Jan-15,774,6.2,20.2,34.6,52.2,67.3,82.8,100
XCH01,Chemistry,Jan-15,1703,,14.6,34.3,51.8,65.3,76.7,100
YCH01,Chemistry,Jan-16,761,6.8,18.7,31.7,47.8,63.2,78.2,100
XCH01,Chemistry,Jan-16,1343,,14.7,35.4,53.8,69.3,80.9,100
YCH01,Chemistry,Jan-17,760,6.1,19.3,36.6,55.7,69.9,83.8,100
XCH01,Chemistry,Jan-17,1434,,16.5,35.9,53.6,65.4,75.9,100
YCH01,Chemistry,Jan-18,1316,80.0,210.0,367.0,538.0,749.0,907.0,1316
XCH01,Chemistry,Jan-18,1525,,272.0,545.0,792.0,998.0,1143.0,1525
YCH01,Chemistry,Jun-14,4736,5.9,23.2,42.7,60.5,73.0,82.9,100
XCH01,Chemistry,Jun-14,4906,,17.9,35.1,50.2,62.8,74.0,100
YCH01,Chemistry,Jun-15,4444,7.7,22.2,39.8,56.9,70.4,81.7,100
XCH01,Chemistry,Jun-15,5089,,20.2,35.7,50.5,62.8,74.1,100
YCH01,Chemistry,Jun-16,4209,9.0,27.3,45.1,60.2,72.1,82.8,100
XCH01,Chemistry,Jun-16,5221,,23.1,40.0,55.5,67.0,77.1,100
