Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YEC01,Economics,Oct-20,24,1.0,6.0,8.0,12.0,18.0,21.0,24
YEC11,Economics,Oct-20,204,9.0,73.0,123.0,169.0,190.0,196.0,204
XEC11,Economics,Oct-20,503,,198.0,333.0,430.0,472.0,487.0,503
YEC11,Economics,Oct-21,660,79.0,246.0,427.0,548.0,617.0,637.0,660
XEC11,Economics,Oct-21,564,,258.0,382.0,460.0,507.0,539.0,564
YEC11,Economics,Oct-22,627,52.0,275.0,441.0,539.0,584.0,608.0,627
XEC11,Economics,Oct-22,830,,303.0,483.0,630.0,730.0,778.0,830
YEC11,Economics,Oct-23,588,70.0,220.0,351.0,446.0,521.0,567.0,588
XEC11,Economics,Oct-23,929,,273.0,494.0,676.0,758.0,826.0,929
YEC01,Economics,Jan-19,167,11.0,43.0,77.0,115.0,137.0,156.0,167
XEC01,Economics,Jan-19,309,,66.0,133.0,182.0,224.0,259.0,309
XEC11,Economics,Jan-20,318,,69.0,131.0,186.0,227.0,265.0,318
YEC11,Economics,Jan-21,239,10.0,81.0,142.0,197.0,224.0,232.0,239
XEC11,Economics,Jan-21,185,,32.0,78.0,114.0,149.0,167.0,185
YEC11,Economics,Jan-22,456,29.0,179.0,309.0,388.0,426.0,440.0,456
XEC11,Economics,Jan-22,304,,135.0,199.0,234.0,257.0,280.0,304
YEC11,Economics,Jan-23,630,47.0,243.0,401.0,502.0,562.0,596.0,630
XEC11,Economics,Jan-23,525,,208.0,301.0,373.0,432.0,473.0,525
YEC11,Economics,Jan-24,447,50.0,147.0,235.0,290.0,358.0,405.0,447
XEC11,Economics,Jan-24,460,,120.0,204.0,281.0,337.0,378.0,460
YEC01,Economics,Jun-17,1700,79.0,407.0,762.0,1106.0,1320.0,1490.0,1700
XEC01,Economics,Jun-17,1412,,364.0,645.0,846.0,999.0,1141.0,1412
YEC01,Economics,Jun-18,1337,85.0,408.0,761.0,998.0,1147.0,1231.0,1337
XEC01,Economics,Jun-18,1433,,424.0,699.0,901.0,1048.0,1174.0,1433
YEC01,Economics,Jun-19,1552,133.0,588.0,986.0,1235.0,1392.0,1471.0,1552
XEC01,Economics,Jun-19,335,,112.0,179.0,230.0,261.0,290.0,335
XEC11,Economics,Jun-19,1138,,379.0,606.0,789.0,898.0,999.0,1138
YEC01,Economics,Jun-20,71,10.0,37.0,53.0,63.0,65.0,68.0,71
YEC11,Economics,Jun-20,1350,315.0,695.0,1060.0,1236.0,1306.0,1338.0,1350
XEC11,Economics,Jun-20,1316,,646.0,915.0,1145.0,1223.0,1273.0,1316
YEC11,Economics,Jun-21,2242,617.0,1306.0,1846.0,2096.0,2199.0,2219.0,2242
XEC11,Economics,Jun-21,2270,,1307.0,1727.0,2000.0,2117.0,2162.0,2270
YEC11,Economics,Jun-22,2674,424.0,1396.0,2042.0,2354.0,2537.0,2615.0,2674
XEC11,Economics,Jun-22,2647,,1201.0,1682.0,2028.0,2243.0,2416.0,2647
YEC11,Economics,Jun-23,2868,274.0,1024.0,1711.0,2247.0,2567.0,2741.0,2868
XEC11,Economics,Jun-23,2968,,945.0,1555.0,2012.0,2341.0,2579.0,2968
YEC01,Economics,Oct-17,242,4.0,21.0,61.0,107.0,142.0,179.0,242
XEC01,Economics,Oct-17,214,,40.0,75.0,114.0,147.0,176.0,214
YEC01,Economics,Oct-18,412,15.0,64.0,136.0,218.0,280.0,331.0,412
XEC01,Economics,Oct-18,425,,60.0,137.0,221.0,283.0,340.0,425
YEC01,Economics,Oct-19,473,28.0,95.0,190.0,288.0,377.0,422.0,473
XEC11,Economics,Oct-19,160,,36.0,74.0,99.0,121.0,140.0,160
9ECA1,Economics,Jan-14,169,0.0,8.3,22.5,40.2,60.4,84.0,100
8ECA1,Economics,Jan-14,103,,6.8,21.4,38.8,55.3,68.9,100
XEC01,Economics,Jan-14,124,,12.1,19.4,33.9,47.6,60.5,100
YEC01,Economics,Jan-15,150,0.0,6.0,16.7,34.0,51.3,69.3,100
XEC01,Economics,Jan-15,359,,6.4,18.4,36.2,52.9,71.3,100
YEC01,Economics,Jan-16,150,0.7,9.3,22.7,41.3,63.3,83.3,100
XEC01,Economics,Jan-16,264,,7.6,24.6,41.7,55.3,69.3,100
YEC01,Economics,Jan-17,155,3.2,12.9,25.2,45.8,67.7,80.6,100
XEC01,Economics,Jan-17,445,,13.5,28.5,42.9,55.1,69.9,100
YEC01,Economics,Jan-18,415,11.0,56.0,123.0,198.0,269.0,324.0,415
XEC01,Economics,Jan-18,417,,48.0,118.0,174.0,236.0,275.0,417
YEC01,Economics,Jun-14,406,1.5,10.1,27.3,45.1,62.6,77.3,100
XEC01,Economics,Jun-14,636,,10.7,23.3,35.5,47.6,61.9,100
YEC01,Economics,Jun-15,1014,1.2,10.7,27.9,46.3,65.9,81.8,100
XEC01,Economics,Jun-15,1084,,13.2,25.5,41.4,57.1,69.2,100
YEC01,Economics,Jun-16,1167,3.8,14.7,34.4,54.7,71.2,83.1,100
XEC01,Economics,Jun-16,1539,,20.8,34.7,48.5,61.9,74.7,100
