Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YEN01,English Language,Jan-19,21,1.0,1.0,4.0,7.0,11.0,15.0,21
XEN01,English Language,Jan-19,61,,3.0,12.0,26.0,41.0,52.0,61
YEN01,English Language,Jan-20,21,2.0,2.0,4.0,8.0,13.0,15.0,21
XEN01,English Language,Jan-20,77,,10.0,22.0,40.0,53.0,67.0,77
YEN01,English Language,Jan-21,33,5.0,11.0,18.0,25.0,29.0,30.0,33
XEN01,English Language,Jan-21,72,,12.0,24.0,39.0,59.0,70.0,72
YEN01,English Language,Jan-22,32,8.0,14.0,23.0,28.0,31.0,32.0,32
XEN01,English Language,Jan-22,94,,17.0,31.0,54.0,69.0,78.0,94
YEN01,English Language,Jan-23,50,0.0,9.0,16.0,29.0,43.0,49.0,50
XEN01,English Language,Jan-23,81,,8.0,22.0,43.0,64.0,74.0,81
YEN01,English Language,Jan-24,32,1.0,1.0,6.0,14.0,24.0,28.0,32
XEN01,English Language,Jan-24,164,,2.0,25.0,56.0,95.0,125.0,164
YEN01,English Language,Jun-17,71,2.0,3.0,19.0,40.0,54.0,65.0,71
XEN01,English Language,Jun-17,226,,0.0,14.0,66.0,118.0,172.0,226
YEN01,English Language,Jun-18,104,1.0,3.0,22.0,50.0,71.0,94.0,104
XEN01,English Language,Jun-18,224,,2.0,6.0,37.0,90.0,142.0,224
YEN01,English Language,Jun-19,98,4.0,7.0,19.0,46.0,73.0,86.0,98
XEN01,English Language,Jun-19,196,,11.0,43.0,81.0,132.0,166.0,196
YEN01,English Language,Jun-20,100,17.0,30.0,64.0,86.0,94.0,100.0,100
XEN01,English Language,Jun-20,194,,47.0,108.0,157.0,183.0,194.0,194
YEN01,English Language,Jun-21,236,34.0,79.0,143.0,201.0,226.0,233.0,236
XEN01,English Language,Jun-21,300,,77.0,167.0,246.0,266.0,280.0,300
YEN01,English Language,Jun-22,269,22.0,71.0,133.0,193.0,233.0,253.0,269
XEN01,English Language,Jun-22,433,,68.0,170.0,269.0,360.0,401.0,433
YEN01,English Language,Jun-23,316,3.0,40.0,111.0,201.0,255.0,294.0,316
XEN01,English Language,Jun-23,556,,46.0,137.0,256.0,410.0,495.0,556
XEN01,English Language,Jan-17,58,,1.7,5.2,20.7,43.1,62.1,100
YEN01,English Language,Jan-18,18,0.0,1.0,3.0,5.0,9.0,10.0,18
XEN01,English Language,Jan-18,98,,1.0,7.0,31.0,62.0,80.0,98
XEN01,English Language,Jun-16,133,,1.5,1.5,11.3,42.1,72.9,100
