Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YET01,English Literature,Jan-19,6,0.0,1.0,3.0,4.0,4.0,6.0,6
XET01,English Literature,Jan-19,65,,10.0,22.0,40.0,52.0,61.0,65
YET01,English Literature,Jan-20,12,1.0,1.0,3.0,4.0,7.0,10.0,12
YET01,English Literature,Jan-21,15,4.0,5.0,11.0,13.0,15.0,15.0,15
XET01,English Literature,Jan-21,37,,12.0,19.0,27.0,34.0,36.0,37
YET01,English Literature,Jan-22,25,2.0,9.0,14.0,19.0,23.0,24.0,25
XET01,English Literature,Jan-22,31,,5.0,13.0,19.0,26.0,28.0,31
YET01,English Literature,Jan-23,25,3.0,7.0,12.0,18.0,21.0,22.0,25
XET01,English Literature,Jan-23,88,,7.0,22.0,51.0,69.0,81.0,88
YET01,English Literature,Jan-24,29,1.0,5.0,12.0,21.0,23.0,27.0,29
XET01,English Literature,Jan-24,106,,5.0,23.0,54.0,80.0,98.0,106
YET01,English Literature,Jun-17,103,10.0,23.0,49.0,75.0,86.0,97.0,103
XET01,English Literature,Jun-17,267,,48.0,99.0,153.0,199.0,235.0,267
YET01,English Literature,Jun-18,201,15.0,52.0,108.0,145.0,183.0,194.0,201
XET01,English Literature,Jun-18,376,,77.0,144.0,211.0,269.0,331.0,376
YET01,English Literature,Jun-19,267,9.0,56.0,117.0,188.0,237.0,258.0,267
XET01,English Literature,Jun-19,395,,66.0,127.0,246.0,317.0,365.0,395
YET01,English Literature,Jun-20,283,54.0,97.0,172.0,240.0,270.0,279.0,283
XET01,English Literature,Jun-20,418,,149.0,254.0,343.0,398.0,410.0,418
YET01,English Literature,Jun-21,380,90.0,177.0,278.0,337.0,376.0,379.0,380
XET01,English Literature,Jun-21,463,,203.0,305.0,399.0,435.0,451.0,463
YET01,English Literature,Jun-22,417,59.0,153.0,283.0,356.0,391.0,414.0,417
YET01,English Literature,Jun-22,245,43.0,171.0,208.0,223.0,231.0,243.0,245
XET01,English Literature,Jun-22,518,,142.0,270.0,375.0,452.0,487.0,518
YET01,English Literature,Jun-23,479,18.0,102.0,207.0,342.0,435.0,464.0,479
XET01,English Literature,Jun-23,561,,86.0,210.0,352.0,437.0,510.0,561
9ETA1,English Literature,Jan-14,10,0.0,40.0,60.0,80.0,90.0,90.0,100
XET01,English Literature,Jan-17,33,,30.3,48.5,75.8,81.8,84.8,100
YET01,English Literature,Jan-18,13,1.0,1.0,4.0,4.0,10.0,12.0,13
XET01,English Literature,Jan-18,69,,16.0,38.0,53.0,65.0,67.0,69
XET01,English Literature,Jun-16,132,,9.8,20.5,36.4,52.3,69.7,100
