Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YFR01,French,Jan-19,17,0.0,3.0,6.0,12.0,14.0,16.0,17
XFR01,French,Jan-19,96,,24.0,38.0,66.0,75.0,85.0,96
YFR01,French,Jan-20,18,1.0,3.0,6.0,13.0,15.0,17.0,18
XFR01,French,Jan-20,118,,23.0,53.0,78.0,94.0,109.0,118
YFR01,French,Jan-21,29,3.0,13.0,23.0,25.0,28.0,28.0,29
XFR01,French,Jan-21,137,,62.0,90.0,117.0,131.0,135.0,137
YFR01,French,Jan-22,15,3.0,9.0,12.0,14.0,15.0,15.0,15
XFR01,French,Jan-22,89,,42.0,65.0,80.0,89.0,89.0,89
YFR01,French,Jan-23,23,1.0,10.0,15.0,20.0,22.0,22.0,23
XFR01,French,Jan-23,128,,44.0,75.0,97.0,108.0,119.0,128
YFR01,French,Jan-24,26,2.0,10.0,12.0,17.0,24.0,26.0,26
XFR01,French,Jun-17,385,,96.0,150.0,216.0,282.0,332.0,385
YFR01,French,Jun-18,320,10.0,102.0,191.0,258.0,298.0,312.0,320
XFR01,French,Jun-18,481,,124.0,203.0,302.0,363.0,404.0,481
YFR01,French,Jun-19,354,15.0,98.0,200.0,275.0,315.0,338.0,354
XFR01,French,Jun-19,496,,128.0,210.0,303.0,371.0,432.0,496
YFR01,French,Jun-20,376,40.0,162.0,267.0,328.0,367.0,376.0,376
XFR01,French,Jun-20,490,,185.0,319.0,419.0,462.0,478.0,490
YFR01,French,Jun-21,475,69.0,245.0,359.0,432.0,465.0,472.0,475
XFR01,French,Jun-21,435,,189.0,293.0,364.0,405.0,419.0,435
YFR01,French,Jun-22,423,36.0,209.0,299.0,374.0,404.0,418.0,423
XFR01,French,Jun-22,443,,155.0,247.0,332.0,376.0,409.0,443
YFR01,French,Jun-23,410,29.0,162.0,270.0,344.0,385.0,394.0,410
XFR01,French,Jun-23,441,,153.0,235.0,304.0,362.0,412.0,441
XFR01,French,Jan-18,91,,21.0,39.0,58.0,75.0,84.0,91
