Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YFM01,Further Mathematics,Oct-20,313,156.0,219.0,269.0,289.0,299.0,303.0,313
XFM01,Further Mathematics,Oct-20,290,,219.0,241.0,264.0,274.0,281.0,290
YFM01,Further Mathematics,Oct-21,295,139.0,195.0,247.0,270.0,282.0,285.0,295
XFM01,Further Mathematics,Oct-21,310,,214.0,260.0,281.0,298.0,305.0,310
YFM01,Further Mathematics,Oct-22,119,52.0,81.0,103.0,111.0,115.0,119.0,119
XFM01,Further Mathematics,Oct-22,308,,224.0,259.0,279.0,294.0,300.0,308
YFM01,Further Mathematics,Oct-23,71,35.0,40.0,48.0,58.0,66.0,70.0,71
XFM01,Further Mathematics,Oct-23,237,,132.0,168.0,195.0,212.0,226.0,237
YFM01,Further Mathematics,Jan-19,347,95.0,161.0,242.0,283.0,319.0,335.0,347
XFM01,Further Mathematics,Jan-19,567,,393.0,469.0,509.0,532.0,545.0,567
YFM01,Further Mathematics,Jan-20,364,90.0,191.0,267.0,307.0,336.0,355.0,364
XFM01,Further Mathematics,Jan-20,592,,377.0,472.0,520.0,547.0,567.0,592
YFM01,Further Mathematics,Jan-21,532,285.0,411.0,475.0,50.0,519.0,525.0,532
XFM01,Further Mathematics,Jan-21,557,,456.0,501.0,527.0,542.0,548.0,557
YFM01,Further Mathematics,Jan-22,673,350.0,513.0,590.0,635.0,656.0,664.0,673
XFM01,Further Mathematics,Jan-22,676,,573.0,620.0,637.0,653.0,662.0,676
YFM01,Further Mathematics,Jan-23,899,450.0,658.0,750.0,815.0,849.0,869.0,899
XFM01,Further Mathematics,Jan-23,838,,659.0,730.0,780.0,803.0,815.0,838
YFM01,Further Mathematics,Jan-24,534,169.0,276.0,375.0,442.0,475.0,507.0,534
XFM01,Further Mathematics,Jan-24,673,,459.0,539.0,591.0,619.0,643.0,673
XFM01,Further Mathematics,Jan-24,142,,26.0,53.0,77.0,108.0,131.0,142
YFM01,Further Mathematics,Jun-17,1315,354.0,647.0,915.0,1060.0,1173.0,1233.0,1315
XFM01,Further Mathematics,Jun-17,920,,526.0,659.0,749.0,812.0,851.0,920
YFM01,Further Mathematics,Jun-18,1569,441.0,801.0,1112.0,1304.0,1428.0,1493.0,1569
XFM01,Further Mathematics,Jun-18,1245,,750.0,926.0,1045.0,1115.0,1164.0,1245
YFM01,Further Mathematics,Jun-19,2218,710.0,1256.0,1675.0,1903.0,2044.0,2125.0,2218
XFM01,Further Mathematics,Jun-19,1699,,1116.0,1352.0,1496.0,1571.0,1619.0,1699
YFM01,Further Mathematics,Jun-20,2229,1064.0,1707.0,2002.0,2112.0,21172.0,2197.0,2229
XFM01,Further Mathematics,Jun-20,1762,,1397.0,1578.0,1665.0,1702.0,1723.0,1762
YFM01,Further Mathematics,Jun-21,2358,1464.0,1988.0,2187.0,2283.0,2317.0,2339.0,2358
XFM01,Further Mathematics,Jun-21,2175,,1876.0,2032.0,2089.0,2129.0,2146.0,2175
YFM01,Further Mathematics,Jun-22,2705,1274.0,1971.0,2321.0,2506.0,2604.0,2664.0,2705
XFM01,Further Mathematics,Jun-22,2312,,1940.0,2094.0,2179.0,2246.0,2276.0,2312
YFM01,Further Mathematics,Jun-23,2578,883.0,1471.0,1936.0,2184.0,2373.0,2476.0,2578
XFM01,Further Mathematics,Jun-23,2221,,1561.0,1816.0,1968.0,2056.0,2119.0,2221
YFM01,Further Mathematics,Jan-14,222,25.2,53.2,67.1,78.8,89.6,95.9,100
XFM01,Further Mathematics,Jan-14,239,,60.3,79.9,89.5,92.9,95.4,100
YFM01,Further Mathematics,Jan-15,211,36.0,63.5,79.6,91.0,95.3,97.6,100
XFM01,Further Mathematics,Jan-15,249,,62.2,80.7,89.2,94.0,95.2,100
YFM01,Further Mathematics,Jan-16,211,19.0,45.5,67.3,79.6,88.2,95.7,100
XFM01,Further Mathematics,Jan-16,246,,54.1,75.2,82.5,91.1,94.3,100
YFM01,Further Mathematics,Jan-17,228,22.4,50.9,71.5,85.1,90.8,96.5,100
XFM01,Further Mathematics,Jan-17,336,,60.7,78.6,89.3,92.6,94.6,100
YFM01,Further Mathematics,Jan-18,320,75.0,158.0,226.0,262.0,295.0,313.0,320
XFM01,Further Mathematics,Jan-18,489,,318.0,401.0,438.0,463.0,479.0,489
YFM01,Further Mathematics,Jun-14,581,34.6,58.2,76.2,87.6,93.8,96.6,100
XFM01,Further Mathematics,Jun-14,378,,59.5,76.5,87.6,93.9,97.1,100
YFM01,Further Mathematics,Jun-15,875,29.8,51.8,71.8,82.2,89.1,93.4,100
XFM01,Further Mathematics,Jun-15,472,,58.9,74.2,83.7,89.4,96.2,100
YFM01,Further Mathematics,Jun-16,1103,27.4,53.6,73.5,84.0,90.7,94.7,100
XFM01,Further Mathematics,Jun-16,674,,58.8,73.0,83.2,88.7,92.4,100
