Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YGE01,Geography,Jan-19,7,0.0,0.0,1.0,4.0,4.0,5.0,7
XGE01,Geography,Jan-19,43,,13.0,17.0,23.0,29.0,34.0,43
XGE01,Geography,Jan-20,71,,20.0,38.0,48.0,61.0,65.0,71
YGE01,Geography,Jan-21,11,0.0,3.0,6.0,9.0,10.0,11.0,11
XGE01,Geography,Jan-21,50,,12.0,25.0,42.0,49.0,49.0,50
YGE01,Geography,Jan-22,12,0.0,4.0,7.0,10.0,12.0,12.0,12
XGE01,Geography,Jan-22,39,,11.0,18.0,26.0,31.0,35.0,39
YGE01,Geography,Jan-23,11,1.0,4.0,6.0,9.0,11.0,11.0,11
XGE01,Geography,Jan-23,48,,9.0,18.0,27.0,38.0,45.0,48
XGE01,Geography,Jan-24,92,,18.0,36.0,55.0,67.0,75.0,92
XGE01,Geography,Jun-17,217,,50.0,70.0,99.0,122.0,158.0,217
YGE01,Geography,Jun-18,150,4.0,36.0,79.0,124.0,140.0,147.0,150
XGE01,Geography,Jun-18,214,,52.0,82.0,107.0,138.0,160.0,214
YGE01,Geography,Jun-19,168,5.0,48.0,99.0,126.0,151.0,161.0,168
XGE01,Geography,Jun-19,273,,64.0,97.0,135.0,171.0,202.0,273
YGE01,Geography,Jun-20,210,31.0,95.0,150.0,184.0,199.0,208.0,210
XGE01,Geography,Jun-20,277,,108.0,167.0,223.0,253.0,267.0,277
YGE01,Geography,Jun-21,301,59.0,141.0,218.0,268.0,291.0,298.0,301
XGE01,Geography,Jun-21,415,,178.0,258.0,321.0,364.0,393.0,415
YGE01,Geography,Jun-22,325,29.0,139.0,217.0,278.0,301.0,316.0,325
XGE01,Geography,Jun-22,410,,126.0,191.0,247.0,304.0,344.0,410
YGE01,Geography,Jun-23,376,12.0,111.0,208.0,287.0,333.0,361.0,376
XGE01,Geography,Jun-23,470,,89.0,154.0,233.0,289.0,347.0,470
YGE01,Geography,Jan-18,9,0.0,0.0,1.0,4.0,5.0,7.0,9
XGE01,Geography,Jan-18,49,,8.0,23.0,37.0,41.0,46.0,49
