Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YGN01,German,Jan-19,40,8.0,32.0,36.0,39.0,39.0,39.0,40
XGN01,German,Jan-19,86,,39.0,49.0,66.0,76.0,82.0,86
XGN01,German,Jan-19,48,,9.0,21.0,33.0,39.0,43.0,48
YGN01,German,Jan-20,69,10.0,53.0,58.0,60.0,63.0,64.0,69
XGN01,German,Jan-20,114,,56.0,65.0,85.0,98.0,105.0,114
YGN01,German,Jan-21,67,9.0,52.0,55.0,59.0,62.0,63.0,67
XGN01,German,Jan-21,101,,72.0,83.0,87.0,92.0,94.0,101
YGN01,German,Jan-22,76,22.0,63.0,69.0,71.0,73.0,73.0,76
XGN01,German,Jan-22,74,,70.0,70.0,71.0,71.0,71.0,74
YGN01,German,Jan-23,75,18.0,56.0,64.0,69.0,70.0,72.0,75
XGN01,German,Jan-23,111,,58.0,71.0,86.0,96.0,100.0,111
YGN01,German,Jan-24,69,6.0,45.0,55.0,59.0,62.0,63.0,69
XGN01,German,Jan-24,124,,94.0,101.0,106.0,111.0,116.0,124
XGN01,German,Jun-17,141,,51.0,68.0,92.0,104.0,120.0,141
YGN01,German,Jun-18,178,19.0,80.0,115.0,144.0,159.0,173.0,178
XGN01,German,Jun-18,238,,65.0,98.0,128.0,159.0,192.0,238
YGN01,German,Jun-19,231,22.0,109.0,148.0,177.0,208.0,219.0,231
XGN01,German,Jun-19,252,,70.0,110.0,144.0,177.0,203.0,252
YGN01,German,Jun-20,193,40.0,114.0,153.0,180.0,189.0,193.0,193
XGN01,German,Jun-20,196,,107.0,150.0,172.0,185.0,195.0,196
YGN01,German,Jun-21,235,57.0,181.0,203.0,221.0,230.0,232.0,235
XGN01,German,Jun-21,224,,147.0,182.0,200.0,215.0,219.0,224
XGN01,German,Jun-22,203,,91.0,116.0,138.0,162.0,182.0,203
YGN01,German,Jun-23,276,30.0,161.0,226.0,249.0,266.0,271.0,276
XGN01,German,Jun-23,227,,137.0,168.0,186.0,203.0,216.0,227
XGN01,German,Jan-18,45,,17.0,24.0,28.0,34.0,40.0,45
