Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YGK01,Greek,Jan-19,4,1.0,2.0,3.0,4.0,4.0,4.0,4
XGK01,Greek,Jan-19,17,,11.0,15.0,17.0,17.0,17.0,17
XGK01,Greek,Jan-20,33,,25.0,32.0,33.0,33.0,33.0,33
YGK01,Greek,Jan-21,13,7.0,9.0,12.0,13.0,13.0,13.0,13
XGK01,Greek,Jan-21,23,,18.0,23.0,23.0,23.0,23.0,23
XGK01,Greek,Jan-22,21,,9.0,19.0,21.0,21.0,21.0,21
XGK01,Greek,Jun-17,162,,101.0,140.0,156.0,162.0,162.0,162
YGK01,Greek,Jun-18,154,17.0,73.0,124.0,142.0,153.0,154.0,154
XGK01,Greek,Jun-18,292,,208.0,264.0,283.0,291.0,291.0,292
YGK01,Greek,Jun-19,352,45.0,230.0,305.0,342.0,347.0,352.0,352
XGK01,Greek,Jun-19,406,,297.0,377.0,399.0,403.0,405.0,406
YGK01,Greek,Jun-20,350,88.0,285.0,341.0,349.0,350.0,350.0,350
XGK01,Greek,Jun-20,255,,197.0,240.0,255.0,255.0,255.0,255
YGK01,Greek,Jun-21,475,170.0,414.0,457.0,471.0,475.0,475.0,475
XGK01,Greek,Jun-21,406,,329.0,385.0,404.0,406.0,406.0,406
YGK01,Greek,Jun-22,487,106.0,331.0,436.0,470.0,474.0,484.0,487
XGK01,Greek,Jun-22,367,,270.0,327.0,349.0,364.0,367.0,367
YGK01,Greek,Jun-23,544,84.0,366.0,491.0,534.0,541.0,543.0,544
XGK01,Greek,Jun-23,326,,201.0,281.0,314.0,325.0,326.0,326
XGK01,Greek,Jan-18,5,,1.0,4.0,5.0,5.0,5.0,5
