Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
XHI01,History,Oct-20,10,,3.0,4.0,6.0,7.0,7.0,10
YHI01,History,Jan-19,10,0.0,1.0,4.0,8.0,8.0,9.0,10
YHI01,History,Jan-20,16,1.0,1.0,3.0,7.0,10.0,13.0,16
XHI01,History,Jan-20,43,,15.0,26.0,31.0,35.0,37.0,43
YHI01,History,Jan-21,23,1.0,4.0,13.0,18.0,19.0,20.0,23
XHI01,History,Jan-21,34,,18.0,23.0,28.0,31.0,32.0,34
YHI01,History,Jan-22,22,2.0,4.0,10.0,14.0,19.0,21.0,22
XHI01,History,Jan-22,37,,17.0,25.0,28.0,33.0,35.0,37
YHI01,History,Jan-23,45,2.0,14.0,20.0,28.0,35.0,42.0,45
XHI01,History,Jan-23,80,,22.0,38.0,52.0,62.0,71.0,80
YHI01,History,Jan-24,28,0.0,7.0,12.0,19.0,23.0,23.0,28
XHI01,History,Jan-24,100,,34.0,56.0,74.0,80.0,87.0,100
YHI01,History,Jun-17,122,11.0,41.0,61.0,87.0,102.0,111.0,122
XHI01,History,Jun-17,224,,38.0,77.0,110.0,146.0,186.0,224
YHI01,History,Jun-18,171,19.0,45.0,83.0,119.0,139.0,153.0,171
XHI01,History,Jun-18,297,,80.0,152.0,212.0,246.0,276.0,297
YHI01,History,Jun-19,234,19.0,72.0,135.0,186.0,214.0,225.0,234
XHI01,History,Jun-19,337,,73.0,150.0,219.0,256.0,292.0,337
YHI01,History,Jun-20,281,61.0,129.0,209.0,250.0,272.0,278.0,281
XHI01,History,Jun-20,341,,165.0,247.0,307.0,331.0,337.0,341
YHI01,History,Jun-21,357,134.0,219.0,279.0,322.0,341.0,350.0,357
XHI01,History,Jun-21,488,,264.0,372.0,437.0,465.0,474.0,488
YHI01,History,Jun-22,487,89.0,213.0,311.0,393.0,443.0,467.0,487
XHI01,History,Jun-22,501,,218.0,328.0,384.0,428.0,466.0,501
YHI01,History,Jun-23,490,47.0,187.0,308.0,400.0,438.0,463.0,490
XHI01,History,Jun-23,538,,183.0,297.0,382.0,454.0,500.0,538
YHI01,History,Oct-17,8,0.0,0.0,1.0,3.0,3.0,5.0,8
XHI01,History,Oct-17,9,,1.0,5.0,7.0,9.0,9.0,9
YHI01,History,Oct-18,6,0.0,0.0,2.0,5.0,6.0,6.0,6
XHI01,History,Oct-18,11,,3.0,4.0,8.0,11.0,11.0,11
YHI01,History,Oct-19,9,0.0,0.0,3.0,4.0,5.0,6.0,9
XHI01,History,Oct-19,12,,5.0,7.0,8.0,11.0,11.0,12
XHI01,History,Jan-17,33,,9.1,21.2,45.5,72.7,84.8,100
YHI01,History,Jan-18,17,0.0,3.0,5.0,8.0,12.0,13.0,17
XHI01,History,Jan-18,57,,6.0,18.0,33.0,47.0,51.0,57
XHI01,History,Jun-16,144,,33.3,42.4,52.8,67.4,81.9,100
