Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YIT11,Information Technology,Oct-20,13,4.0,6.0,7.0,10.0,12.0,12.0,13
XIT11,Information Technology,Oct-20,25,,14.0,18.0,21.0,24.0,25.0,25
YIT11,Information Technology,Oct-21,19,7.0,8.0,12.0,16.0,17.0,18.0,19
XIT11,Information Technology,Oct-21,38,,14.0,23.0,27.0,33.0,37.0,38
XIT11,Information Technology,Jun-19,218,,12.0,28.0,52.0,93.0,133.0,218
YIT11,Information Technology,Jun-20,141,12.0,34.0,74.0,119.0,132.0,139.0,141
XIT11,Information Technology,Jun-20,233,,79.0,136.0,179.0,213.0,225.0,233
YIT11,Information Technology,Jun-21,274,86.0,148.0,217.0,252.0,266.0,271.0,274
XIT11,Information Technology,Jun-21,542,,285.0,400.0,466.0,502.0,516.0,542
YIT11,Information Technology,Jun-22,453,52.0,134.0,234.0,316.0,378.0,411.0,453
XIT11,Information Technology,Jun-22,563,,135.0,206.0,291.0,365.0,428.0,563
YIT11,Information Technology,Jun-23,416,17.0,83.0,144.0,205.0,273.0,326.0,416
XIT11,Information Technology,Jun-23,708,,43.0,107.0,203.0,346.0,505.0,708
