Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YLA1,Law,Oct-20,143,36.0,53.0,73.0,100.0,115.0,128.0,143
YLA1,Law,Jun-17,398,38.0,65.0,96.0,143.0,190.0,229.0,398
YLA1,Law,Jun-18,419,36.0,56.0,81.0,121.0,170.0,217.0,419
YLA1,Law,Jun-19,341,40.0,56.0,82.0,120.0,156.0,187.0,341
YLA1,Law,Jun-20,143,22.0,64.0,96.0,121.0,129.0,137.0,143
YLA1,Law,Jun-21,432,102.0,239.0,340.0,392.0,420.0,429.0,432
YLA1,Law,Jun-22,336,58.0,118.0,146.0,178.0,217.0,254.0,336
YLA1,Law,Jun-23,396,45.0,62.0,99.0,132.0,174.0,238.0,396
YLA1,Law,Oct-17,30,2.0,2.0,5.0,7.0,12.0,17.0,30
YLA1,Law,Oct-18,21,2.0,3.0,3.0,3.0,6.0,10.0,21
YLA1,Law,Oct-19,23,4.0,8.0,9.0,13.0,14.0,17.0,23
YLA0,Law,Jun-14,518,9.8,18.5,29.5,40.3,52.5,64.5,100
YLA0,Law,Jun-15,467,12.0,19.9,29.6,43.0,50.7,62.3,100
YLA0,Law,Jun-16,474,11.2,22.6,34.4,44.5,55.3,65.0,100
