Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YMA01,Mathematics,Oct-20,1727,468,942,1249,1460,1601,1666,1727
XMA01,Mathematics,Oct-20,3588,,1539,2375,2929,3265,3439,3588
YMA01,Mathematics,Oct-21,2536,401,1186,1693,2038,2276,2398,2536
XMA01,Mathematics,Oct-21,3626,,1380,2091,2685,3128,3386,3626
YMA01,Mathematics,Oct-22,2618,617,1354,1803,2090,2289,2438,2618
XMA01,Mathematics,Oct-22,4063,,1641,2334,2910,3351,3637,4063
YMA01,Mathematics,Oct-23,2388,352,822,1181,1465,1750,2003,2388
YMA01,Mathematics,Jan-19,2019,419,929,1318,1582,1760,1876,2019
XMA01,Mathematics,Jan-19,2574,,945,1421,1835,2082,2255,2574
YMA01,Mathematics,Jan-20,1552,470,873,1098,1250,1363,1441,1552
XMA01,Mathematics,Jan-20,2565,,885,1413,1808,2108,2318,2565
YMA01,Mathematics,Jan-21,2073,675,1357,1703,1907,1997,2037,2073
XMA01,Mathematics,Jan-21,2074,,1173,1494,1755,1927,2015,2074
YMA01,Mathematics,Jan-22,2472,683,1580,2012,2248,2373,2424,2472
XMA01,Mathematics,Jan-22,2410,,1247,1602,1926,2139,2278,2410
YMA01,Mathematics,Jan-23,2984,926,1815,2309,2601,2792,2884,2984
XMA01,Mathematics,Jan-23,3240,,1453,1932,2352,2679,2906,3240
YMA01,Mathematics,Jan-24,2187,548,1052,1401,1699,1887,2016,2187
XMA01,Mathematics,Jan-24,3281,,1141,1712,2198,2567,2830,3281
YMA01,Mathematics,Jun-17,7894,1428,3111,4612,5745,6469,7066,7894
XMA01,Mathematics,Jun-17,9109,,3038,4481,5693,6684,7432,9109
YMA01,Mathematics,Jun-18,8222,1737,3535,5109,6270,7079,7654,8222
XMA01,Mathematics,Jun-18,11420,,3929,5863,7416,8618,9532,11420
YMA01,Mathematics,Jun-19,10317,2260,4740,6697,8068,8982,9644,10317
XMA01,Mathematics,Jun-19,12875,,4647,6783,8507,9851,10883,12875
YMA01,Mathematics,Jun-20,10183,3416,6095,8142,9254,9789,10032,10183
XMA01,Mathematics,Jun-20,12020,,6304,8370,10089,11068,11571,12020
YMA01,Mathematics,Jun-21,13081,4608,8579,11078,12214,12734,12939,13081
XMA01,Mathematics,Jun-21,14199,,8425,10565,12209,13190,13681,14199
YMA01,Mathematics,Jun-22,13402,3702,7544,9954,11513,12456,13006,13402
XMA01,Mathematics,Jun-22,15381,,7433,9669,11503,12898,13954,15381
YMA01,Mathematics,Jun-23,13347,2890,6265,8722,10438,11644,12505,13347
XMA01,Mathematics,Jun-23,16143,,6263,8539,10599,12396,13622,16143
YMA01,Mathematics,Oct-17,941,201,338,447,540,647,729,941
XMA01,Mathematics,Oct-17,1421,,467,725,938,1087,1222,1421
YMA01,Mathematics,Oct-18,1345,200,442,610,745,894,1039,1345
XMA01,Mathematics,Oct-18,2247,,670,1053,1386,1665,1856,2247
YMA01,Mathematics,Oct-19,1922,291,564,854,1073,1330,1545,1922
XMA01,Mathematics,Oct-19,2498,,777,1281,1669,1970,2183,2498
YMA01,Mathematics,Jan-14,2345,16.7,35.9,53.2,66.1,78.2,87.4,100
XMA01,Mathematics,Jan-14,1256,,23.9,38.4,51.2,65.7,76.4,100
YMA01,Mathematics,Jan-15,1490,15.5,38.5,54.8,67,78.3,86.8,100
XMA01,Mathematics,Jan-15,1625,,38.2,52.7,64.7,74,82.2,100
YMA01,Mathematics,Jan-16,1591,16.7,40.4,58.7,70.3,80.5,89.1,100
XMA01,Mathematics,Jan-16,1707,,33.8,50.8,63.8,73.9,81.9,100
YMA01,Mathematics,Jan-17,1627,21.4,46.2,62.6,76.3,86,93.2,100
XMA01,Mathematics,Jan-17,2225,,35.6,51.6,63.8,74.3,81.5,100
YMA01,Mathematics,Jan-18,2245,444,887,1255,1548,1774,1956,2245
XMA01,Mathematics,Jan-18,2661,,905,1362,1751,2055,2256,2661
YMA01,Mathematics,Jun-14,4225,21.6,45.1,60.4,71.8,80.7,87.5,100
XMA01,Mathematics,Jun-14,5331,,35.7,48.4,60.1,70.1,78,100
YMA01,Mathematics,Jun-15,6297,18.3,39.1,56,69.7,79.6,87.3,100
XMA01,Mathematics,Jun-15,7017,,35.6,50,61.7,71.5,79.2,100
YMA01,Mathematics,Jun-16,6837,17.8,40.3,58.8,71.2,80.7,88.2,100
XMA01,Mathematics,Jun-16,8605,,36.1,50.7,62.3,72.1,80.8,100
