Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YPH01,Physics,Oct-20,203,2.0,17.0,49.0,93.0,147.0,187.0,203
YPH11,Physics,Oct-20,519,26.0,120.0,205.0,286.0,377.0,446.0,519
XPH11,Physics,Oct-20,1457,,519.0,712.0,887.0,1046.0,1163.0,1457
YPH11,Physics,Oct-21,1358,101.0,359.0,527.0,730.0,904.0,1061.0,1358
XPH11,Physics,Oct-21,1298,,440.0,602.0,739.0,877.0,978.0,1298
YPH11,Physics,Oct-22,1279,154.0,388.0,545.0,719.0,871.0,1016.0,1279
XPH11,Physics,Oct-22,1485,,473.0,708.0,885.0,1041.0,1175.0,1485
YPH11,Physics,Oct-23,1336,48.0,221.0,377.0,544.0,729.0,931.0,1336
XPH11,Physics,Oct-23,1968,,175.0,481.0,755.0,1033.0,1250.0,1968
YPH01,Physics,Jan-19,1065,59.0,206.0,359.0,538.0,682.0,850.0,1065
XPH01,Physics,Jan-19,1460,,267.0,528.0,756.0,956.0,1144.0,1460
XPH11,Physics,Jan-20,1064,,186.0,370.0,533.0,683.0,806.0,1064
YPH11,Physics,Jan-21,773,118.0,304.0,435.0,563.0,634.0,688.0,773
XPH11,Physics,Jan-21,651,,261.0,345.0,426.0,489.0,535.0,651
YPH11,Physics,Jan-22,903,96.0,417.0,553.0,652.0,756.0,811.0,903
XPH11,Physics,Jan-22,690,,248.0,333.0,416.0,491.0,543.0,690
YPH11,Physics,Jan-23,1276,288.0,635.0,831.0,971.0,1086.0,1174.0,1276
XPH11,Physics,Jan-23,1193,,418.0,602.0,744.0,858.0,949.0,1193
YPH11,Physics,Jan-24,1168,75.0,335.0,507.0,659.0,799.0,956.0,1168
XPH11,Physics,Jan-24,1514,,181.0,423.0,691.0,940.0,1137.0,1514
YPH01,Physics,Jun-17,4681,257.0,1096.0,1957.0,2648.0,3263.0,3783.0,4681
XPH01,Physics,Jun-17,4727,,964.0,1583.0,2199.0,2773.0,3298.0,4727
YPH01,Physics,Jun-18,3979,315.0,1081.0,1815.0,2462.0,2999.0,3454.0,3979
XPH01,Physics,Jun-18,4835,,998.0,1635.0,2231.0,2825.0,3408.0,4835
YPH01,Physics,Jun-19,4166,364.0,1213.0,2017.0,2658.0,3189.0,3657.0,4166
XPH01,Physics,Jun-19,1378,,290.0,490.0,691.0,869.0,1028.0,1378
XPH11,Physics,Jun-19,3559,,768.0,1210.0,1698.0,2148.0,2549.0,3559
YPH01,Physics,Jun-20,361,44.0,94.0,183.0,254.0,299.0,344.0,361
YPH11,Physics,Jun-20,3062,742.0,1542.0,2227.0,2674.0,2897.0,3003.0,3062
XPH11,Physics,Jun-20,3627,,1436.0,2108.0,2732.0,3171.0,3436.0,3627
YPH11,Physics,Jun-21,4935,1347.0,2920.0,3945.0,4490.0,4729.0,4824.0,4935
XPH11,Physics,Jun-21,4944,,2687.0,3431.0,4020.0,4380.0,4600.0,4944
YPH11,Physics,Jun-22,4732,838.0,2307.0,3069.0,3604.0,4066.0,4421.0,4732
XPH11,Physics,Jun-22,5391,,2278.0,2976.0,3542.0,4039.0,4412.0,5391
YPH11,Physics,Jun-23,4842,555.0,1799.0,2645.0,3397.0,3937.0,4361.0,4842
XPH11,Physics,Jun-23,6275,,1589.0,2466.0,3259.0,3998.0,4594.0,6275
YPH01,Physics,Oct-17,487,11.0,72.0,115.0,183.0,232.0,298.0,487
XPH01,Physics,Oct-17,656,,98.0,216.0,589.0,374.0,448.0,656
YPH01,Physics,Oct-18,901,19.0,89.0,178.0,264.0,373.0,502.0,901
XPH01,Physics,Oct-18,1178,,135.0,279.0,416.0,542.0,706.0,1178
YPH01,Physics,Oct-19,1586,38.0,200.0,416.0,617.0,816.0,1027.0,1586
XPH11,Physics,Oct-19,589,,103.0,213.0,311.0,388.0,452.0,589
YPH01,Physics,Jan-14,1171,3.2,18.2,33.3,46.2,61.9,77.1,100
XPH01,Physics,Jan-14,1043,,17.6,37.0,53.3,66.2,76.9,100
YPH01,Physics,Jan-15,1060,3.1,16.8,32.9,46.8,62.5,76.4,100
XPH01,Physics,Jan-15,1721,,20.3,40.6,57.6,71.0,80.7,100
YPH01,Physics,Jan-16,1042,3.3,15.2,32.6,48.2,64.2,77.1,100
XPH01,Physics,Jan-16,1610,,16.3,37.1,52.9,68.4,79.8,100
YPH01,Physics,Jan-17,1070,2.9,17.7,34.4,50.7,66.5,81.5,100
XPH01,Physics,Jan-17,1536,,16.3,31.3,45.6,60.0,71.1,100
YPH01,Physics,Jan-18,1554,36.0,226.0,438.0,661.0,891.0,1096.0,1554
XPH01,Physics,Jan-18,1605,,284.0,527.0,750.0,971.0,1168.0,1605
YPH01,Physics,Jun-14,5387,5.9,23.1,41.7,58.1,71.5,83.3,100
XPH01,Physics,Jun-14,5002,,19.7,33.8,48.6,61.9,73.6,100
YPH01,Physics,Jun-15,4866,4.4,23.0,40.9,56.9,70.3,81.4,100
XPH01,Physics,Jun-15,5095,,19.7,32.3,45.9,59.5,72.7,100
YPH01,Physics,Jun-16,4791,5.4,23.0,40.2,56.5,69.8,82.1,100
XPH01,Physics,Jun-16,5028,,20.5,34.9,48.9,61.6,72.8,100
