Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YPS01,Psychology,Oct-20,23,6.0,7.0,14.0,17.0,22.0,23.0,23
XPS01,Psychology,Oct-20,65,,21.0,28.0,42.0,55.0,64.0,65
YPS01,Psychology,Jan-19,11,0.0,0.0,2.0,5.0,7.0,8.0,11
XPS01,Psychology,Jan-19,78,,6.0,13.0,30.0,48.0,61.0,78
YPS01,Psychology,Jan-20,12,0.0,1.0,2.0,2.0,4.0,6.0,12
XPS01,Psychology,Jan-20,74,,11.0,24.0,40.0,57.0,64.0,74
YPS01,Psychology,Jan-21,19,2.0,4.0,9.0,11.0,16.0,18.0,19
XPS01,Psychology,Jan-21,39,,10.0,17.0,24.0,32.0,38.0,39
YPS01,Psychology,Jan-22,30,7.0,15.0,19.0,24.0,27.0,29.0,30
XPS01,Psychology,Jan-22,78,,27.0,41.0,53.0,64.0,74.0,78
YPS01,Psychology,Jan-23,41,10.0,16.0,22.0,32.0,36.0,40.0,41
XPS01,Psychology,Jan-23,154,,32.0,65.0,93.0,119.0,144.0,154
YPS01,Psychology,Jan-24,31,6.0,12.0,16.0,20.0,25.0,30.0,31
XPS01,Psychology,Jan-24,238,,41.0,77.0,140.0,172.0,198.0,238
YPS01,Psychology,Jun-17,201,14.0,37.0,84.0,130.0,151.0,177.0,201
XPS01,Psychology,Jun-17,405,,38.0,79.0,149.0,224.0,282.0,405
YPS01,Psychology,Jun-18,167,19.0,36.0,82.0,118.0,144.0,156.0,167
XPS01,Psychology,Jun-18,460,,73.0,137.0,218.0,296.0,363.0,460
YPS01,Psychology,Jun-19,257,26.0,64.0,116.0,171.0,215.0,243.0,257
XPS01,Psychology,Jun-19,360,,61.0,110.0,172.0,233.0,296.0,360
YPS01,Psychology,Jun-20,232,40.0,95.0,146.0,193.0,220.0,229.0,232
XPS01,Psychology,Jun-20,422,,146.0,227.0,308.0,377.0,410.0,422
YPS01,Psychology,Jun-21,361,95.0,180.0,271.0,327.0,352.0,359.0,361
XPS01,Psychology,Jun-21,648,,325.0,446.0,543.0,601.0,628.0,648
YPS01,Psychology,Jun-22,540,105.0,257.0,373.0,457.0,501.0,527.0,540
XPS01,Psychology,Jun-22,771,,276.0,385.0,509.0,601.0,680.0,771
YPS01,Psychology,Jun-23,636,62.0,208.0,358.0,459.0,538.0,593.0,636
XPS01,Psychology,Jun-23,966,,170.0,312.0,462.0,624.0,748.0,966
YPS01,Psychology,Oct-17,4,0.0,1.0,1.0,1.0,1.0,3.0,4
XPS01,Psychology,Oct-17,20,,2.0,6.0,8.0,13.0,15.0,20
YPS01,Psychology,Oct-18,7,0.0,0.0,0.0,3.0,4.0,5.0,7
XPS01,Psychology,Oct-18,31,,4.0,11.0,17.0,21.0,24.0,31
YPS01,Psychology,Oct-19,19,1.0,1.0,4.0,8.0,9.0,13.0,19
XPS01,Psychology,Oct-19,38,,6.0,12.0,18.0,27.0,36.0,38
9PSA1,Psychology,Jan-14,8,0.0,12.5,12.5,62.5,75.0,87.5,100
XPS01,Psychology,Jan-17,68,,1.5,8.8,27.9,44.1,57.4,100
YPS01,Psychology,Jan-18,15,0.0,0.0,0.0,1.0,2.0,4.0,15
XPS01,Psychology,Jan-18,47,,2.0,13.0,25.0,30.0,38.0,47
XPS01,Psychology,Jun-16,284,,13.4,29.9,48.9,65.5,80.6,100
