Subject Code,Subject,Exam Series,Sat,A*,A,B,C,D,E,U
YSP01,Spanish,Jan-19,75,4.0,48.0,72.0,73.0,74.0,74.0,75
XSP01,Spanish,Jan-19,218,,144.0,184.0,204.0,209.0,215.0,218
YSP01,Spanish,Jan-20,105,3.0,61.0,99.0,104.0,105.0,105.0,105
XSP01,Spanish,Jan-20,183,,112.0,152.0,169.0,177.0,181.0,183
YSP01,Spanish,Jan-21,49,10.0,39.0,45.0,46.0,47.0,49.0,49
XSP01,Spanish,Jan-21,284,,231.0,265.0,278.0,280.0,281.0,284
YSP01,Spanish,Jan-22,298,80.0,256.0,291.0,294.0,296.0,296.0,298
XSP01,Spanish,Jan-22,406,,340.0,374.0,392.0,396.0,398.0,406
YSP01,Spanish,Jan-23,157,44.0,132.0,153.0,157.0,157.0,157.0,157
XSP01,Spanish,Jan-23,278,,235.0,261.0,274.0,275.0,277.0,278
YSP01,Spanish,Jan-24,159,7.0,116.0,146.0,157.0,159.0,159.0,159
XSP01,Spanish,Jan-24,317,,259.0,293.0,309.0,313.0,315.0,317
XSP01,Spanish,Jun-17,375,,235.0,303.0,336.0,362.0,368.0,375
YSP01,Spanish,Jun-18,585,19.0,312.0,509.0,557.0,579.0,584.0,585
XSP01,Spanish,Jun-18,587,,358.0,488.0,539.0,569.0,580.0,587
YSP01,Spanish,Jun-19,801,21.0,420.0,714.0,775.0,793.0,798.0,801
XSP01,Spanish,Jun-19,620,,404.0,516.0,570.0,591.0,608.0,620
YSP01,Spanish,Jun-20,859,147.0,643.0,802.0,847.0,857.0,858.0,859
XSP01,Spanish,Jun-20,598,,434.0,552.0,585.0,596.0,598.0,598
YSP01,Spanish,Jun-21,955,234.0,735.0,904.0,940.0,951.0,954.0,955
XSP01,Spanish,Jun-21,724,,499.0,650.0,704.0,718.0,721.0,724
YSP01,Spanish,Jun-22,932,121.0,645.0,843.0,905.0,921.0,928.0,932
XSP01,Spanish,Jun-22,557,,361.0,455.0,511.0,535.0,552.0,557
YSP01,Spanish,Jun-23,944,84.0,591.0,840.0,915.0,932.0,940.0,944
XSP01,Spanish,Jun-23,551,,337.0,439.0,500.0,525.0,537.0,551
XSP01,Spanish,Jan-18,110,,69.0,96.0,99.0,107.0,108.0,110
