Past Paper Question Bank (Done),Year-Month-Question,Exam Series,Total Mark,Your Marks,Textbook,Textbook Sub-Topic,Status,Difficulty/Style,Question Type,Unit Topic,Unit Sub-Topic
Yes,2018-Sample Paper-Q1a,2018-Sample Paper,3,2.0,Chapter 8 Differentiation,8e Differentiating functions with two or more terms,Not started,Easy ,Sub-Question/One Question,4. Differentiation,"4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples."
Yes,2018-Sample Paper-Q1b,2018-Sample Paper,3,2.0,Chapter 9 Integration,9b Indefinite integrals,Need Marking,Easy ,Sub-Question/One Question,5. Integration,"5.1 Indefinite integration as the reverse of differentiation.  5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2018-Sample Paper-Q2a,2018-Sample Paper,5,4.0,Chapter 1 Algebraic Expressions,1f Rationalising denominators,Need Marking,Medium ,Sub-Question/One Question,1. Algebra and functions,1.2 Use and manipulation of surds.
No,2018-Sample Paper-Q2b,2018-Sample Paper,5,5.0,Chapter 1 Algebraic Expressions,1a Index laws,Need Marking,Medium ,Sub-Question/One Question,1. Algebra and functions,1.1 Laws of indices for all rational exponents.
No,2018-Sample Paper-Q3,2018-Sample Paper,6,4.0,Chapter 3 Equations and Inequalities,3b Quadratic simultaneous equations,Not started,Easy ,Main Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2018-Sample Paper-Q4,2018-Sample Paper,5,3.0,Chapter 3 Equations and Inequalities,3c Simultaneous equations on graphs,Not started,Medium ,Main Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2018-Sample Paper-Q5a,2018-Sample Paper,8,7.0,Chapter 3 Equations and Inequalities,3c Simultaneous equations on graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2018-Sample Paper-Q5b,2018-Sample Paper,8,6.0,Chapter 3 Equations and Inequalities,3g Regions,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.8 Represent linear and quadratic inequalities graphically.
No,2018-Sample Paper-Q5c,2018-Sample Paper,8,6.0,Chapter 3 Equations and Inequalities,3f Inequalities on graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
No,2018-Sample Paper-Q6a,2018-Sample Paper,7,5.0,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2018-Sample Paper-Q6b,2018-Sample Paper,7,4.0,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
